ATfeature,refGene,Aar,Ath,Bra,Chi,Cru,Csa,Sal,Tar
AT4G08280,AT4G08280.2,Aa31LG9G14290,AT4G08280.2,,CARHR259360.1,Carub.0006s2684.1.p,,,gene-TAV2_LOCUS19188
AT4G08230,AT4G08230.1,Aa31LG9G14330,AT4G08230.1,,CARHR259330.1,Carub.0006s2676.1.p,,,gene-TAV2_LOCUS20863
AT4G08555,AT4G08555.1,Aa31LG9G14480,AT4G08555.1,,CARHR259590.1,Carub.0006s2710.1.p,,,gene-TAV2_LOCUS22170
AT4G09620,AT4G09620.1,Aa31LG9G14900,AT4G09620.1,,CARHR260470.1,Carub.0006s2806.1.p,,,gene-TAV2_LOCUS19990
CTC1,AT4G09680.1,Aa31LG9G14980,AT4G09680.1,,CARHR260630.1,Carub.0006s2813.1.p,,,gene-TAV2_LOCUS21120
UVH1,AT5G41150.1,Aa31LG9G15130,AT5G41150.1,,CARHR213220.1,Carub.0007s3432.1.p,,,gene-TAV2_LOCUS22499
AT1G32630,AT1G32630.1,Aa31LG9G15260,AT1G32630.1,,CARHR032060.1,Carub.0001s3101.1.p,,,gene-TAV2_LOCUS3632
AT2G35290,AT2G35290.1,Aa31LG9G15310,AT2G35290.1,,CARHR129440.1,Carub.0004s1698.1.p,,,gene-TAV2_LOCUS12664
ATEYA,AT2G35320.1,Aa31LG9G15330,AT2G35320.1,,CARHR129460.1,Carub.0004s1701.1.p,,,gene-TAV2_LOCUS12657
AT2G35360,AT2G35360.1,Aa31LG9G15370,AT2G35360.1,,CARHR129520.1,Carub.0004s1705.1.p,,,gene-TAV2_LOCUS13732
AT2G35470,AT2G35470.1,Aa31LG9G15460,AT2G35470.1,,CARHR129620.1,Carub.0004s1716.1.p,,,gene-TAV2_LOCUS14505
PSAF,AT1G31330.1,Aa31LG9G15960,AT1G31330.1,,CARHR030790.1,Carub.0001s2977.1.p,,,gene-TAV2_LOCUS2873
NAP1,AT2G35110.1,Aa31LG9G16120,AT2G35110.1,,CARHR129260.1,Carub.0004s1679.1.p,,,gene-TAV2_LOCUS12880
AT5G39590,AT5G39590.1,Aa31LG9G16490,AT5G39590.1,,CARHR262700.1,Carub.0007s3635.1.p,,,gene-TAV2_LOCUS23046
AT5G39250,AT5G39250.1,Aa31LG9G16680,AT5G39250.1,,CARHR263160.1,Carub.0007s3667.1.p,,,gene-TAV2_LOCUS24407
TAP46,AT5G53000.1,Aa31LG9G16760,AT5G53000.1,,CARHR265990.1,Carub.0008s1320.1.p,,,gene-TAV2_LOCUS21166
AT5G38900,AT5G38900.2,Aa31LG9G16810,AT5G38900.2,,CARHR263630.1,Carub.0007s3694.1.p,,,gene-TAV2_LOCUS23242
AT5G38400,AT5G38400.1,Aa31LG9G17100,AT5G38400.1,,,Carub.0007s3761.1.p,,,
AT5G38380,AT5G38380.1,Aa31LG9G17110,AT5G38380.1,,CARHR214220.1,Carub.0007s3769.1.p,,,gene-TAV2_LOCUS23954
AT5G38310,AT5G38310.1,Aa31LG9G17130,AT5G38310.1,,CARHR214270.1,Carub.0007s3776.1.p,,,
OXP1,AT5G37830.1,Aa31LG9G17330,AT5G37830.1,,CARHR214920.1,Carub.0007s3301.1.p,,,gene-TAV2_LOCUS25092
EMB2656,AT5G37630.1,Aa31LG9G17470,AT5G37630.1,,CARHR215230.1,Carub.0007s3279.1.p,,,gene-TAV2_LOCUS22889
AT5G37590,AT5G37590.1,Aa31LG9G17490,AT5G37590.1,,CARHR215300.1,Carub.0007s3275.1.p,,,gene-TAV2_LOCUS24272
AT5G37480,AT5G37480.1,Aa31LG9G17570,AT5G37480.1,,CARHR215460.1,Carub.0007s3265.1.p,,,gene-TAV2_LOCUS23891
SRL1,AT5G37370.1,Aa31LG9G17630,AT5G37370.1,,CARHR215720.1,Carub.0007s3249.1.p,,,gene-TAV2_LOCUS25463
VPS11,AT2G05170.1,Aa31LG9G17700,AT2G05170.1,,CARHR103040.1,Carub.0003s2668.1.p,,,gene-TAV2_LOCUS8816
AT5G36960,AT5G36960.1,Aa31LG9G17730,AT5G36960.1,,CARHR216130.1,Carub.0007s3221.1.p,,,
DEGP10,AT5G36950.1,Aa31LG9G17740,AT5G36950.1,,CARHR216140.1,Carub.0007s3220.1.p,,,gene-TAV2_LOCUS23427
AT5G37360,AT5G37360.1,Aa31LG9G18020,AT5G37360.1,,CARHR215730.1,Carub.0007s3248.1.p,,,gene-TAV2_LOCUS23319
AT4G21865,AT4G21865.1,Aa31LG9G18080,AT4G21865.1,,CARHR228620.1,Carub.0007s1951.1.p,,,gene-TAV2_LOCUS25057
AT2G04900,AT2G04900.1,Aa31sc107G30,AT2G04900.1,,CARHR102920.1,Carub.0003s2650.1.p,,,gene-TAV2_LOCUS11455
AT1G42480,AT1G42480.1,Aa31sc108G20,AT1G42480.1,,CARHR292440.1,Carub.0001s3428.1.p,,,gene-TAV2_LOCUS24613
CJD1,AT1G08640.1,Aa31sc110G20,AT1G08640.1,,CARHR008550.1,Carub.0001s0800.1.p,,,gene-TAV2_LOCUS2204
AT1G28100,AT1G28100.4,Aa31sc1106G20,AT1G28100.4,,CARHR027570.1,Carub.0001s2653.1.p,,,gene-TAV2_LOCUS3498
AT1G27752,AT1G27752.1,Aa31sc113G40,AT1G27752.1,,CARHR027270.1,Carub.0001s2627.1.p,,,gene-TAV2_LOCUS585
SAT32,AT1G27760.3,Aa31sc113G50,AT1G27760.3,,CARHR027280.1,Carub.0001s2628.1.p,,,gene-TAV2_LOCUS3182
AT1G68680,AT1G68680.1,Aa31sc12G90,AT1G68680.1,,CARHR061490.1,Carub.0002s1522.1.p,,,gene-TAV2_LOCUS16295
TPST,AT1G08030.1,Aa31sc122G10,AT1G08030.1,,CARHR007800.1,Carub.0001s0737.1.p,,,gene-TAV2_LOCUS2567
AT2G22650,AT2G22650.1,Aa31sc130G90,AT2G22650.1,,CARHR104080.1,Carub.0013s0015.1.p,,,gene-TAV2_LOCUS25914
NUP85,AT4G32910.1,Aa31sc131G40,AT4G32910.1,,CARHR240910.1,Carub.0007s0758.1.p,,,gene-TAV2_LOCUS23084
ORG4,AT2G06010.1,Aa31sc133G40,AT2G06010.1,,CARHR103670.1,Carub.0003s2714.1.p,,,gene-TAV2_LOCUS1731
EBM,AT1G09010.1,Aa31sc136G30,AT1G09010.1,,CARHR008900.1,Carub.0001s0833.1.p,,,gene-TAV2_LOCUS1665
AT3G25400,AT3G25400.1,Aa31sc138G30,AT3G25400.1,,CARHR101700.1,Carub.0003s2571.1.p,,,gene-TAV2_LOCUS11195
ELP1,AT5G13680.1,Aa31sc144G30,AT5G13680.1,,CARHR199760.1,Carub.0006s1184.1.p,,,gene-TAV2_LOCUS18563
CHLH,AT5G13630.1,Aa31sc144G60,AT5G13630.1,,CARHR199810.1,Carub.0006s1179.1.p,,,gene-TAV2_LOCUS19861
AT4G33467,AT4G33467.1,Aa31sc146G10,AT4G33467.1,,CARHR241540.1,Carub.0007s0701.1.p,,,gene-TAV2_LOCUS22647
AT4G33480,AT4G33480.1,Aa31sc146G60,AT4G33480.1,,CARHR241560.1,Carub.0007s0699.1.p,,,gene-TAV2_LOCUS22651
AT1G47278,AT1G47278.2,Aa31sc152G30,AT1G47278.2,,CARHR036850.1,Carub.0001s3607.1.p,,,gene-TAV2_LOCUS2529
AT3G12345,AT3G12345.1,Aa31sc153G60,AT3G12345.1,,CARHR086880.1,Carub.0003s1170.1.p,,,
QCT,AT4G25720.1,Aa31sc163G30,AT4G25720.1,,CARHR233170.1,Carub.0007s1524.1.p,,,gene-TAV2_LOCUS23504
AT3G54130,AT3G54130.1,Aa31sc171G20,AT3G54130.1,,CARHR164010.1,Carub.0005s2072.1.p,,,gene-TAV2_LOCUS17124
ABCI12,AT3G21580.1,Aa31sc174G10,AT3G21580.1,,CARHR097540.1,Carub.0003s2162.1.p,,,gene-TAV2_LOCUS9137
AT5G50110,AT5G50110.1,Aa31sc174G50,AT5G50110.1,,CARHR258520.1,Carub.0008s1012.1.p,,,gene-TAV2_LOCUS23960
AT1G68585,AT1G68585.1,Aa31sc179G60,AT1G68585.1,,CARHR061380.1,Carub.0002s1512.1.p,,,gene-TAV2_LOCUS17728
AT5G46850,AT5G46850.2,Aa31sc182G50,AT5G46850.2,,CARHR174600.1,Carub.0008s0106.1.p,,,gene-TAV2_LOCUS6795
AT5G49800,AT5G49800.1,Aa31sc192G10,AT5G49800.1,,CARHR258980.1,Carub.0008s0968.1.p,,,
AIP3,AT1G08780.1,Aa31sc20G40,AT1G08780.1,,CARHR008700.1,Carub.0001s0812.1.p,,,gene-TAV2_LOCUS704
VDE1,AT1G08550.3,Aa31sc20G120,AT1G08550.3,,CARHR008450.1,Carub.0001s0791.1.p,,,gene-TAV2_LOCUS3793
AT1G08580,AT1G08580.1,Aa31sc20G150,AT1G08580.1,,CARHR008480.1,Carub.0001s0794.1.p,,,gene-TAV2_LOCUS3794
AT2G11910,AT2G11910.1,Aa31sc200G30,AT2G11910.1,,CARHR105010.1,Carub.0003s2774.1.p,,,
TTM3,AT2G11890.1,Aa31sc200G40,AT2G11890.1,,CARHR105000.1,Carub.0003s2773.1.p,,,gene-TAV2_LOCUS9088
AT5G52580,AT5G52580.2,Aa31sc200G80,AT5G52580.2,,CARHR265580.1,Carub.0008s1272.1.p,,,gene-TAV2_LOCUS20929
AT2G04305,AT2G04305.1,Aa31sc202G40,AT2G04305.1,,CARHR102180.1,Carub.0003s2601.1.p,,,gene-TAV2_LOCUS9077
AT2G04360,AT2G04360.2,Aa31sc202G50,AT2G04360.2,,CARHR102220.1,Carub.0003s2604.1.p,,,gene-TAV2_LOCUS9078
AT4G33640,AT4G33640.2,Aa31sc21G60,AT4G33640.2,,CARHR241740.1,Carub.0007s0679.1.p,,,gene-TAV2_LOCUS23627
AT4G33625,AT4G33625.1,Aa31sc21G80,AT4G33625.1,,CARHR241720.1,Carub.0007s0681.1.p,,,gene-TAV2_LOCUS25021
AT4G33925,AT4G33925.1,Aa31sc211G10,AT4G33925.1,,CARHR242020.1,Carub.0007s0650.1.p,,,
AT3G51750,AT3G51750.3,Aa31sc214G60,AT3G51750.3,,CARHR161380.1,Carub.0005s1810.1.p,,,gene-TAV2_LOCUS17692
TRM10,AT5G47680.1,Aa31sc219G70,AT5G47680.1,,CARHR173630.1,Carub.0008s0010.1.p,,,gene-TAV2_LOCUS6251
AT2G25280,AT2G25280.1,Aa31sc229G10,AT2G25280.1,,CARHR116260.1,Carub.0004s0490.1.p,,,gene-TAV2_LOCUS12248
MPH1,AT5G07020.1,Aa31sc25G160,AT5G07020.1,,CARHR206130.1,Carub.0006s0594.1.p,,,gene-TAV2_LOCUS18709
AT2G13440,AT2G13440.1,Aa31sc255G10,AT2G13440.1,,CARHR104850.1,Carub.0003s2795.1.p,,,gene-TAV2_LOCUS8910
AT4G33540,AT4G33540.1,Aa31sc280G10,AT4G33540.1,,CARHR241640.1,Carub.0007s0691.1.p,,,gene-TAV2_LOCUS25013
ATDSI-1VOC,AT1G07645.1,Aa31sc281G30,AT1G07645.1,,CARHR007450.1,Carub.0001s0699.1.p,,,gene-TAV2_LOCUS5
RSY3,AT3G24560.2,Aa31sc29G50,AT3G24560.2,,CARHR100790.1,Carub.0003s2495.1.p,,,gene-TAV2_LOCUS11634
AT2G07360,AT2G07360.2,Aa31sc328G10,AT2G07360.2,,CARHR104050.1,Carub.0013s0005.1.p,,,gene-TAV2_LOCUS18898
PDIL1-3,AT3G54960.1,Aa31sc33G10,AT3G54960.1,,CARHR164940.1,Carub.0005s2157.1.p,,,gene-TAV2_LOCUS15396
AT3G54970,AT3G54970.1,Aa31sc33G20,AT3G54970.1,,CARHR164970.1,Carub.0005s2159.1.p,,,
AT5G35460,AT5G35460.2,Aa31sc339G40,AT5G35460.2,,CARHR217480.1,Carub.0007s3126.1.p,,,gene-TAV2_LOCUS24908
PPOX1,AT5G49970.1,Aa31sc34G110,AT5G49970.1,,CARHR258740.1,Carub.0008s0987.1.p,,,gene-TAV2_LOCUS22141
AT3G54680,AT3G54680.1,Aa31sc35G40,AT3G54680.1,,CARHR164600.1,Carub.0005s2128.1.p,,,gene-TAV2_LOCUS15869
RID2,AT5G57280.1,Aa31sc36G40,AT5G57280.1,,CARHR271080.1,Carub.0008s1778.1.p,,,gene-TAV2_LOCUS19730
AT2G26130,AT2G26130.1,,"AT2G26130.1, AT2G26135.1, AT3G43750.1, AT3G45540.1, AT3G45570.1, AT3G45580.1",,"CARHR059580.1, CARHR114860.1, CARHR150110.1, CARHR256190.1, CARHR263010.1","Carub.0004s0597.1.p, Carub.0004s0598.1.p, Carub.0005s0940.1.p, Carub.0005s0944.1.p, Carub.0005s0953.1.p, Carub.0005s1136.1.p",,,
AT2G26135,AT2G26135.1,,"AT2G26130.1, AT2G26135.1, AT3G43750.1, AT3G45540.1, AT3G45570.1, AT3G45580.1",,"CARHR059580.1, CARHR114860.1, CARHR150110.1, CARHR256190.1, CARHR263010.1","Carub.0004s0597.1.p, Carub.0004s0598.1.p, Carub.0005s0940.1.p, Carub.0005s0944.1.p, Carub.0005s0953.1.p, Carub.0005s1136.1.p",,,
AT3G43180,AT3G43180.1,,,,,,,,
AT3G43750,AT3G43750.1,,"AT2G26130.1, AT2G26135.1, AT3G43750.1, AT3G45540.1, AT3G45570.1, AT3G45580.1",,"CARHR059580.1, CARHR114860.1, CARHR150110.1, CARHR256190.1, CARHR263010.1","Carub.0004s0597.1.p, Carub.0004s0598.1.p, Carub.0005s0940.1.p, Carub.0005s0944.1.p, Carub.0005s0953.1.p, Carub.0005s1136.1.p",,,
AT3G45460,AT3G45460.1,,"AT3G45460.1, AT3G45480.1",,CARHR150200.1,,,,
AT3G45480,AT3G45480.1,,"AT3G45460.1, AT3G45480.1",,CARHR150200.1,,,,
AT3G45510,AT3G45510.1,,,,,,,,
AT3G45540,AT3G45540.1,,"AT2G26130.1, AT2G26135.1, AT3G43750.1, AT3G45540.1, AT3G45570.1, AT3G45580.1",,"CARHR059580.1, CARHR114860.1, CARHR150110.1, CARHR256190.1, CARHR263010.1","Carub.0004s0597.1.p, Carub.0004s0598.1.p, Carub.0005s0940.1.p, Carub.0005s0944.1.p, Carub.0005s0953.1.p, Carub.0005s1136.1.p",,,
AT3G45555,AT3G45555.1,,AT3G45555.1,,,Carub.0005s1137.1.p,,,gene-TAV2_LOCUS7872
AT3G45560,AT3G45560.1,,,,,,,,
AT3G45570,AT3G45570.1,,"AT2G26130.1, AT2G26135.1, AT3G43750.1, AT3G45540.1, AT3G45570.1, AT3G45580.1",,"CARHR059580.1, CARHR114860.1, CARHR150110.1, CARHR256190.1, CARHR263010.1","Carub.0004s0597.1.p, Carub.0004s0598.1.p, Carub.0005s0940.1.p, Carub.0005s0944.1.p, Carub.0005s0953.1.p, Carub.0005s1136.1.p",,,
AT3G45580,AT3G45580.1,,"AT2G26130.1, AT2G26135.1, AT3G43750.1, AT3G45540.1, AT3G45570.1, AT3G45580.1",,"CARHR059580.1, CARHR114860.1, CARHR150110.1, CARHR256190.1, CARHR263010.1","Carub.0004s0597.1.p, Carub.0004s0598.1.p, Carub.0005s0940.1.p, Carub.0005s0944.1.p, Carub.0005s0953.1.p, Carub.0005s1136.1.p",,,
AT5G60250,AT5G60250.1,,AT5G60250.1,,CARHR273920.1,Carub.0008s2098.1.p,,,gene-TAV2_LOCUS21284
DCP1,AT1G08370.1,Aa31sc375G10,AT1G08370.1,,CARHR008250.1,Carub.0001s0772.1.p,,,gene-TAV2_LOCUS573
AT1G67350,AT1G67350.1,Aa31sc377G10,AT1G67350.1,,CARHR059890.1,Carub.0002s1364.1.p,,,
EPFL9,AT4G12970.1,Aa31sc38G90,AT4G12970.1,,CARHR218280.1,Carub.0007s2980.1.p,,,gene-TAV2_LOCUS24111
AT3G54290,AT3G54290.1,Aa31sc392G30,AT3G54290.1,,CARHR164220.1,Carub.0005s2088.1.p,,,gene-TAV2_LOCUS18281
PSA2,AT2G34860.1,Aa31sc409G10,AT2G34860.1,,CARHR129020.1,Carub.0004s1654.1.p,,,gene-TAV2_LOCUS14938
AT3G45160,AT3G45160.1,Aa31sc412G50,AT3G45160.1,,CARHR150820.1,Carub.0005s1096.1.p,,,
AT5G48520,AT5G48520.2,Aa31sc420G20,AT5G48520.2,,CARHR183510.1,Carub.0008s0810.1.p,,,gene-TAV2_LOCUS7131
AT4G24160,AT4G24160.1,Aa31sc185G60,AT4G24160.1,,CARHR231560.1,Carub.0007s1694.1.p,,,
AT4G24175,AT4G24175.1,Aa31sc424G20,AT4G24175.1,,CARHR231580.1,Carub.0007s1692.1.p,,,
KIN7I,AT4G24170.1,,AT4G24170.1,,CARHR231570.1,Carub.0007s1693.1.p,,,"gene-TAV2_LOCUS23379, gene-TAV2_LOCUS23379"
SKIP5,AT3G54480.1,Aa31sc434G20,AT3G54480.1,,CARHR164380.1,Carub.0005s2110.1.p,,,gene-TAV2_LOCUS18209
SKIP24,AT1G08710.2,Aa31sc449G40,AT1G08710.2,,CARHR008630.1,Carub.0001s0806.1.p,,,gene-TAV2_LOCUS2207
AT1G28120,AT1G28120.1,Aa31sc45G20,AT1G28120.1,,CARHR027590.1,Carub.0001s2655.1.p,,,gene-TAV2_LOCUS3500
AT1G28140,AT1G28140.1,Aa31sc45G70,AT1G28140.1,,CARHR027610.1,Carub.0001s2657.1.p,,,gene-TAV2_LOCUS2618
AT5G20110,AT5G20110.1,Aa31sc461G10,AT5G20110.1,,CARHR192720.1,Carub.0006s1849.1.p,,,gene-TAV2_LOCUS21445
AT1G67540,AT1G67540.2,Aa31sc48G30,AT1G67540.2,,CARHR060110.1,Carub.0002s1388.1.p,,,
URE,AT1G67550.1,Aa31sc48G50,AT1G67550.1,,CARHR060120.1,Carub.0002s1389.1.p,,,gene-TAV2_LOCUS17208
NCA1,AT3G54360.1,Aa31sc488G20,AT3G54360.1,,CARHR164270.1,Carub.0005s2096.1.p,,,gene-TAV2_LOCUS15387
FIP37,AT3G54170.1,Aa31sc491G40,AT3G54170.1,,CARHR082370.1,Carub.0005s2076.1.p,,,
CDKB1-1,AT3G54180.1,,AT3G54180.1,,CARHR164080.1,Carub.0005s2077.1.p,,,gene-TAV2_LOCUS17121
AT1G07985,AT1G07985.1,Aa31sc522G10,AT1G07985.1,,CARHR007770.1,Carub.0001s0734.1.p,,,gene-TAV2_LOCUS2566
PRDA1,AT5G48470.1,Aa31sc527G10,AT5G48470.1,,CARHR183610.1,Carub.0008s0805.1.p,,,gene-TAV2_LOCUS5113
AT1G09150,AT1G09150.1,Aa31sc55G100,AT1G09150.1,,CARHR009020.1,Carub.0001s0844.1.p,,,gene-TAV2_LOCUS2744
RNE,AT2G04270.5,Aa31sc575G10,AT2G04270.5,,CARHR102110.1,Carub.0003s2599.1.p,,,gene-TAV2_LOCUS10212
NAGLU,AT5G13690.1,Aa31sc576G10,AT5G13690.1,,CARHR199750.1,Carub.0006s1185.1.p,,,gene-TAV2_LOCUS19129
AT2G25605,AT2G25605.1,Aa31sc586G10,AT2G25605.1,,CARHR115710.1,Carub.0004s0533.1.p,,,gene-TAV2_LOCUS13525
AGT1,AT2G13360.1,Aa31sc61G60,AT2G13360.1,,CARHR105160.1,Carub.0003s2789.1.p,,,gene-TAV2_LOCUS9388
MAD1,AT5G49880.1,Aa31sc62G20,AT5G49880.1,,CARHR258850.1,Carub.0008s0974.1.p,,,gene-TAV2_LOCUS18436
ATG1,AT3G51790.1,Aa31sc655G20,AT3G51790.1,,CARHR161420.1,Carub.0005s1814.1.p,,,
AT5G48440,AT5G48440.1,Aa31sc661G10,AT5G48440.1,,CARHR183670.1,Carub.0008s0801.1.p,,,
AT2G37680,AT2G37680.2,Aa31sc70G70,AT2G37680.2,,CARHR131860.1,Carub.0004s1963.1.p,,,gene-TAV2_LOCUS13002
AT4G32860,AT4G32860.1,Aa31sc706G10,AT4G32860.1,,CARHR240860.1,Carub.0007s0763.1.p,,,gene-TAV2_LOCUS23463
AT2G04235,AT2G04235.1,Aa31sc733G10,AT2G04235.1,,,Carub.0003s2593.1.p,,,gene-TAV2_LOCUS10211
CSK,AT1G67840.1,Aa31sc755G30,AT1G67840.1,,CARHR060480.1,Carub.0002s1430.1.p,,,gene-TAV2_LOCUS15479
emb2410,AT2G25660.4,Aa31sc76G80,AT2G25660.4,,CARHR115590.1,Carub.0004s0545.1.p,,,gene-TAV2_LOCUS12254
PSAO,AT1G08380.1,Aa31sc785G10,AT1G08380.1,,CARHR008270.1,Carub.0001s0773.1.p,,,gene-TAV2_LOCUS574
TATC,AT2G01110.1,Aa31sc79G60,AT2G01110.1,,CARHR143660.1,Carub.0005s0009.1.p,,,gene-TAV2_LOCUS5567
AT3G12050,AT3G12050.1,Aa31sc80G90,AT3G12050.1,,CARHR086620.1,Carub.0003s1139.1.p,,,gene-TAV2_LOCUS9050
MAG,AT3G12040.1,Aa31sc80G100,AT3G12040.1,,CARHR086600.1,Carub.0003s1138.1.p,,,gene-TAV2_LOCUS9049
AT4G33140,AT4G33140.1,Aa31sc810G10,AT4G33140.1,,CARHR241160.1,Carub.0007s0732.1.p,,,gene-TAV2_LOCUS24346
AT1G67930,AT1G67930.1,Aa31sc829G10,AT1G67930.1,,CARHR060570.1,Carub.0002s1442.1.p,,,gene-TAV2_LOCUS17831
AT2G24970,AT2G24970.1,Aa31sc83G60,AT2G24970.1,,CARHR116750.1,Carub.0004s0454.1.p,,,gene-TAV2_LOCUS14435
PANC,AT5G48840.1,Aa31sc866G40,AT5G48840.1,,CARHR182880.1,Carub.0008s0857.1.p,,,gene-TAV2_LOCUS6500
ABH1,AT2G13540.1,Aa31sc869G10,AT2G13540.1,,CARHR104840.1,Carub.0003s2803.1.p,,,gene-TAV2_LOCUS8911
AT1G47410,AT1G47410.1,Aa31sc924G20,AT1G47410.1,,CARHR037020.1,Carub.0001s3622.1.p,,,gene-TAV2_LOCUS959
AT3G25130,AT3G25130.1,Aa31sc95G70,AT3G25130.1,,CARHR101450.1,Carub.0003s2546.1.p,,,
AT5G58630,AT5G58630.1,Aa31LG11G410,AT5G58630.1,,CARHR272490.1,Carub.0008s1925.1.p,,,gene-TAV2_LOCUS21039
AT5G24313,AT5G24313.1,,AT5G24313.1,,CARHR189170.1,Carub.0006s2209.1.p,,,
AT5G27860,AT5G27860.1,Aa31LG11G9610,AT5G27860.1,,CARHR186340.1,,,,
PME28,AT5G27870.1,,AT5G27870.1,,CARHR186350.1,Carub.0006s2471.1.p,,,gene-TAV2_LOCUS4948
AT1G12080,AT1G12080.2,,AT1G12080.2,,,Carub.0001s1177.1.p,,,
AT3G42725,AT3G42725.1,Aa31LG4G13290,AT3G42725.1,,,,,,
AT5G24510,AT5G24510.1,,AT5G24510.1,,CARHR158420.1,,,,gene-TAV2_LOCUS6025
EMB2768,AT3G02660.2,Aa31LG5G13140,AT3G02660.2,,CARHR076660.1,,,,gene-TAV2_LOCUS9688
AT4G33660,AT4G33660.1,Aa31LG5G20800,AT4G33660.1,,,,,,
NDHG,ATCG01080.1,Aa31LG5G21710,ATCG01080.1,,CARHR282450.1,,,,
NDHI,ATCG01090.1,Aa31LG5G21720,ATCG01090.1,,CARHR282460.1,,,,gene-TAV2_LOCUS8766
AT4G19200,AT4G19200.1,,AT4G19200.1,,,Carub.0007s2193.1.p,,,gene-TAV2_LOCUS22712
PTF2,AT4G35540.1,Aa31LG6G12510,AT4G35540.1,,CARHR243880.1,,,,gene-TAV2_LOCUS24173
AT1G23890,AT1G23890.2,Aa31LG7G7760,AT1G23890.2,,CARHR024290.1,Carub.0001s2338.1.p,,,gene-TAV2_LOCUS4002
AT1G15385,AT1G15385.1,,AT1G15385.1,,CARHR015920.1,Carub.0001s1516.1.p,,,gene-TAV2_LOCUS738
AT2G35075,AT2G35075.1,,,,,,,,
AT4G04972,AT4G04972.1,Aa31LG9G9470,AT4G04972.1,,CARHR252550.1,Carub.0006s3293.1.p,,,gene-TAV2_LOCUS21560
AT2G07721,AT2G07721.1,Aa31csc239G100,AT2G07721.1,,CARHR282990.1,,,,gene-TAV2_LOCUS9447
AT2G07681,AT2G07681.1,,,,,,,,
AT2G07771,AT2G07771.2,Aa31csc239G110,"AT2G07771.2, ATMG00900.1",,CARHR283160.1,,,,gene-TAV2_LOCUS12101
AT2G07773,AT2G07773.1,,"AT2G07773.1, ATMG00910.1",,CARHR283170.1,,,,
CCB256,ATMG00900.1,Aa31csc239G110,"AT2G07771.2, ATMG00900.1",,CARHR283160.1,,,,gene-TAV2_LOCUS12101
ORF215A,ATMG00910.1,,"AT2G07773.1, ATMG00910.1",,CARHR283170.1,,,,
ORF106D,ATMG00890.1,,ATMG00890.1,,"CARHR283150.1, CARHR287920.1",,,,
AT2G47350,AT2G47350.1,Aa31LG1G28650,AT2G47350.1,,CARHR142740.1,Carub.0004s3007.1.p,,,gene-TAV2_LOCUS14162
RPOC2,ATCG00170.1,Aa31csc39G120,ATCG00170.1,,CARHR281920.1,,,,
ATPH,ATCG00140.1,Aa31csc39G180,ATCG00140.1,,CARHR281890.1,,,,
ATPF,ATCG00130.1,Aa31csc39G190,ATCG00130.1,,CARHR281880.1,,,,
SDH4,AT2G46505.1,Aa31sc13G60,AT2G46505.1,,CARHR141830.1,Carub.0004s2920.1.p,,,
AT2G07687,AT2G07687.1,,"AT2G07687.1, ATMG00730.1",,CARHR283070.1,,,,gene-TAV2_LOCUS12105
COX3,ATMG00730.1,,"AT2G07687.1, ATMG00730.1",,CARHR283070.1,,,,gene-TAV2_LOCUS12105
AT2G07708,AT2G07708.1,Aa31csc553G40,"AT2G07708.1, ATMG00500.1",,,,,,
ORF141,ATMG00500.1,Aa31csc553G40,"AT2G07708.1, ATMG00500.1",,,,,,
AT2G07728,AT2G07728.1,Aa31csc705G20,AT2G07728.1,,,,,,
CEMA,ATCG00530.1,,ATCG00530.1,,CARHR282110.1,,,,
PETA,ATCG00540.1,Aa31sc334G20,ATCG00540.1,,CARHR282120.1,,,,"gene-TAV2_LOCUS10374, gene-TAV2_LOCUS10976, gene-TAV2_LOCUS11150, gene-TAV2_LOCUS25928, gene-TAV2_LOCUS728"
NDHB.1,ATCG00890.1,Aa31LG8G11340,"ATCG00890.1, ATCG01250.1",,"CARHR282330.1, CARHR282530.1",,,,"gene-TAV2_LOCUS24754, gene-TAV2_LOCUS5479"
NDHF,ATCG01010.1,Aa31sc483G10,"ATCG01010.1, ATMG00513.1",,,,,,
NDHB.2,ATCG01250.1,Aa31LG8G11340,"ATCG00890.1, ATCG01250.1",,"CARHR282330.1, CARHR282530.1",,,,"gene-TAV2_LOCUS24754, gene-TAV2_LOCUS5479"
NAD2A,ATMG00285.1,,ATMG00285.1,,,Carub.0006s2655.1.p,,,
AT2G07777,AT2G07777.1,Aa31csc553G30,"AT2G07777.1, ATMG01090.1",,CARHR283360.1,,,,
NAD5A,ATMG00513.1,Aa31sc483G10,"ATMG00513.1, ATCG01010.1",,,,,,
ORF262,ATMG01090.1,Aa31csc553G30,"AT2G07777.1, ATMG01090.1",,CARHR283360.1,,,,
AT4G05350,AT4G05350.1,,"AT4G05350.1, AT4G12140.1, AT4G12150.1, AT4G12210.1, AT4G12220.1",,"CARHR054900.1, CARHR254030.1, CARHR256630.1","Carub.0001s0971.1.p, Carub.0006s3133.1.p, Carub.0006s3134.1.p",,,gene-TAV2_LOCUS2304
AT4G12140,AT4G12140.1,,"AT4G05350.1, AT4G12140.1, AT4G12150.1, AT4G12210.1, AT4G12220.1",,"CARHR054900.1, CARHR254030.1, CARHR256630.1","Carub.0001s0971.1.p, Carub.0006s3133.1.p, Carub.0006s3134.1.p",,,gene-TAV2_LOCUS2304
